,chosen_arm,optimal,reward,cost
1060,0,0,-1,1
1061,1,1,-1,1
1062,1,1,-1,1
1063,1,0,-1,1
1064,0,1,0,0
1065,2,0,0,0
1066,1,0,-1,1
1067,1,0,-1,1
1068,1,0,0,0
1069,0,0,-1,1
1070,1,0,-1,1
1071,1,0,-1,1
1072,1,0,-1,1
1073,1,0,-1,1
1074,0,0,-1,1
1075,1,1,-1,1
1076,1,0,0,0
1077,1,1,-1,1
1078,1,0,0,0
1079,0,0,-1,1
1080,1,0,-1,1
1081,1,1,-1,1
1082,0,0,-1,1
1083,0,0,-1,1
1084,0,0,-1,1
1085,1,0,-1,1
1086,1,1,-1,1
1087,2,0,-1,1
1088,1,0,-1,1
1089,1,0,-1,1
1090,0,0,-1,1
1091,0,0,-1,1
1092,0,0,-1,1
1093,0,1,0,0
1094,0,0,-1,1
1095,0,0,-1,1
1096,1,1,-1,1
1097,0,1,0,0
1098,1,0,0,0
1099,1,0,-1,1
1100,1,0,0,0
1101,1,1,-1,1
1102,1,0,-1,1
1103,1,1,-1,1
1104,0,0,-1,1
1105,2,1,-1,1
1106,1,0,-1,1
1107,1,1,-1,1
1108,0,0,-1,1
1109,1,0,0,0
1110,1,0,0,0
1111,0,0,-1,1
1112,1,0,-1,1
1113,2,0,-1,1
1114,1,0,0,0
1115,1,0,0,0
1116,0,0,-1,1
1117,2,1,-1,1
1118,0,0,-1,1
1119,1,0,-1,1
1120,1,0,-1,1
1121,0,0,-1,1
1122,2,0,0,0
1123,1,1,-1,1
1124,0,1,0,0
1125,1,0,0,0
1126,0,0,-1,1
1127,0,0,-1,1
1128,0,0,-1,1
1129,0,0,-1,1
1130,0,0,-1,1
1131,1,0,0,0
1132,0,0,-1,1
1133,0,0,388,52
1134,0,0,-1,1
1135,0,0,-1,1
1136,0,1,0,0
1137,0,0,-1,1
1138,1,0,0,0
1139,0,0,-1,1
1140,0,0,-1,1
1141,1,0,-1,1
1142,0,0,-1,1
1143,0,0,-1,1
1144,1,0,-1,1
1145,1,1,-1,1
1146,0,0,-1,1
1147,1,0,-1,1
1148,1,0,-1,1
1149,0,0,-1,1
1150,1,0,0,0
1151,0,1,0,0
1152,1,0,-1,1
1153,2,0,0,0
1154,1,0,-1,1
1155,0,0,-1,1
1156,1,0,-1,1
1157,0,1,0,0
1158,2,1,-1,1
1159,0,0,-1,1
1160,1,1,-1,1
1161,0,0,-1,1
1162,2,1,-1,1
1163,0,0,-1,1
1164,0,0,-1,1
1165,1,1,-1,1
1166,2,0,-1,1
1167,1,0,-1,1
1168,2,1,-1,1
1169,0,0,-1,1
1170,0,0,-1,1
1171,0,0,-1,1
1172,1,1,-1,1
1173,0,0,-1,1
1174,1,0,-1,1
1175,1,1,-1,1
1176,0,0,-1,1
1177,1,0,0,0
1178,1,0,-1,1
1179,0,0,-1,1
1180,1,0,-1,1
1181,0,0,-1,1
1182,0,1,0,0
1183,0,0,-1,1
1184,2,1,-1,1
1185,1,0,-1,1
1186,2,1,-1,1
1187,1,1,-1,1
1188,0,0,-1,1
1189,1,0,0,0
1190,0,0,-1,1
1191,1,0,-1,1
1192,2,1,-1,1
1193,0,0,-1,1
1194,0,0,-1,1
1195,0,0,-1,1
1196,0,0,-1,1
1197,2,1,-1,1
1198,1,0,0,0
1199,0,0,-1,1
1200,0,0,-1,1
1201,1,0,-1,1
1202,0,0,-1,1
1203,1,1,-1,1
1204,0,0,-1,1
1205,1,0,0,0
1206,1,0,-1,1
1207,0,0,-1,1
1208,0,0,-1,1
1209,0,0,-1,1
1210,0,1,0,0
1211,1,1,-1,1
1212,1,0,-1,1
1213,2,0,-1,1
1214,1,1,-1,1
1215,1,0,-1,1
1216,0,0,-1,1
1217,0,0,-1,1
1218,1,1,-1,1
1219,0,0,-1,1
1220,1,0,-1,1
1221,2,1,-1,1
1222,0,1,0,0
1223,0,1,0,0
1224,0,0,-1,1
1225,1,1,-1,1
1226,0,0,-1,1
1227,0,0,-1,1
1228,0,0,-1,1
1229,0,0,-1,1
1230,1,1,-1,1
1231,0,1,0,0
1232,0,0,-1,1
1233,0,0,-1,1
1234,0,0,-1,1
1235,1,0,-1,1
1236,1,0,-1,1
1237,0,0,-1,1
1238,2,1,-1,1
1239,0,0,-1,1
1240,2,1,-1,1
1241,1,0,-1,1
1242,2,1,-1,1
1243,2,0,0,0
1244,1,0,-1,1
1245,0,0,-1,1
1246,0,0,-1,1
1247,0,0,-1,1
1248,1,1,-1,1
1249,0,1,0,0
1250,1,0,-1,1
1251,1,0,0,0
1252,1,0,0,0
1253,0,0,-1,1
1254,1,1,-1,1
1255,0,0,-1,1
1256,1,1,-1,1
1257,0,0,-1,1
1258,0,0,-1,1
1259,1,1,-1,1
